,classification,atmosphere,obj_energy,obj_bandwidth,obj_latency,field_size,number_of_nodes,physical_topology,sampling_rate,best_technique
0,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,10,Heed
1,Monitoring,Air,0.2,0.8,0.2,Room,100,Star,10,Heed
2,Monitoring,Air,0.2,0.8,0.8,Room,100,Star,10,Heed
3,Monitoring,Air,0.8,0.2,0.8,Room,100,Star,10,Heed
4,Monitoring,Air,0.8,0.8,0.2,Room,100,Star,10,Heed
5,Monitoring,Air,0.8,0.2,0.8,Room,100,Star,10,Heed
6,Monitoring,Air,0.8,0.8,0.8,Room,100,Star,10,Heed
7,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,10,Leach
8,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,10,Leach
9,Monitoring,Air,0.2,0.8,0.2,Room,10,Star,10,Leach
10,Monitoring,Air,0.8,0.2,0.2,Room,10,Star,10,Leach
11,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,50,Leach
12,Monitoring,Air,0.2,0.8,0.2,Room,10,Star,50,Leach
13,Monitoring,Air,0.8,0.2,0.2,Room,10,Star,50,Leach
14,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,100,Leach
15,Monitoring,Air,0.2,0.8,0.2,Room,10,Star,100,Leach
16,Monitoring,Air,0.8,0.2,0.2,Room,10,Star,100,Leach
17,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,10,Leach
18,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,10,Leach
19,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,10,Leach
20,Monitoring,Air,0.2,0.2,0.8,Room,10,Star,10,Leach
21,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,50,Leach
22,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,100,Leach
23,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,10,Leach
24,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,10,Leach
25,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,10,Leach
26,Monitoring,Air,0.2,0.2,0.8,Room,100,Star,10,Leach
27,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,10,Heed
28,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,50,Heed
29,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,100,Heed
30,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,10,Heed
31,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,10,Heed
32,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,10,Heed
33,Monitoring,Air,0.8,0.2,0.2,Room,1000,Star,10,Heed
34,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
35,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,10,Star,10,Heed
36,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,10,Star,10,Heed
37,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,50,Heed
38,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,10,Star,50,Heed
39,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,10,Star,50,Heed
40,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,100,Heed
41,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,10,Star,100,Heed
42,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,10,Star,100,Heed
43,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
44,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
45,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
46,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
47,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
48,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
49,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,100,Star,10,Heed
50,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,50,Heed
51,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
52,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,100,Star,50,Heed
53,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,100,Heed
54,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
55,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,100,Star,100,Heed
56,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
57,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
58,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
59,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
60,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,10,Heed
61,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,1000,Star,10,Heed
62,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,1000,Star,10,Heed
63,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,50,Heed
64,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,1000,Star,50,Heed
65,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,1000,Star,50,Heed
66,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,100,Heed
67,Monitoring,Air,0.2,0.8,0.2,Apartment Complex,1000,Star,100,Heed
68,Monitoring,Air,0.8,0.2,0.2,Apartment Complex,1000,Star,100,Heed
69,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,10,Heed
70,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,10,Heed
71,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,10,Heed
72,Monitoring,Air,0.2,0.2,0.8,Apartment Complex,1000,Star,10,Heed
73,Monitoring,Air,0.2,0.8,0.2,City Block,10,Star,10,Heed
74,Monitoring,Air,0.8,0.2,0.2,City Block,10,Star,10,Heed
75,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,50,Heed
76,Monitoring,Air,0.2,0.8,0.2,City Block,10,Star,50,Heed
77,Monitoring,Air,0.8,0.2,0.2,City Block,10,Star,50,Heed
78,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,100,Heed
79,Monitoring,Air,0.2,0.8,0.2,City Block,10,Star,100,Heed
80,Monitoring,Air,0.8,0.2,0.2,City Block,10,Star,100,Heed
81,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,10,Heed
82,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,10,Heed
83,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,10,Heed
84,Monitoring,Air,0.2,0.2,0.8,City Block,10,Star,10,Heed
85,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,10,Heed
86,Monitoring,Air,0.2,0.8,0.2,City Block,100,Star,10,Heed
87,Monitoring,Air,0.8,0.2,0.2,City Block,100,Star,10,Heed
88,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,50,Heed
89,Monitoring,Air,0.2,0.8,0.2,City Block,100,Star,50,Heed
90,Monitoring,Air,0.8,0.2,0.2,City Block,100,Star,50,Heed
91,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,100,Heed
92,Monitoring,Air,0.2,0.8,0.2,City Block,100,Star,100,Heed
93,Monitoring,Air,0.8,0.2,0.2,City Block,100,Star,100,Heed
94,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,10,Heed
95,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,10,Heed
96,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,10,Heed
97,Monitoring,Air,0.2,0.2,0.8,City Block,100,Star,10,Heed
98,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,10,DBST
99,Monitoring,Air,0.2,0.8,0.2,City Block,1000,Star,10,DBST
100,Monitoring,Air,0.8,0.2,0.2,City Block,1000,Star,10,DBST
101,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,50,DBST
102,Monitoring,Air,0.2,0.8,0.2,City Block,1000,Star,50,DBST
103,Monitoring,Air,0.8,0.2,0.2,City Block,1000,Star,50,DBST
104,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,100,DBST
105,Monitoring,Air,0.2,0.8,0.2,City Block,1000,Star,100,DBST
106,Monitoring,Air,0.8,0.2,0.2,City Block,1000,Star,100,DBST
107,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,10,DBST
108,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,10,DBST
109,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,10,DBST
110,Monitoring,Air,0.2,0.2,0.8,City Block,1000,Star,10,DBST
111,Monitoring,Air,0.2,0.2,0.8,City,10,Star,10,DBST
112,Monitoring,Air,0.2,0.8,0.2,City,10,Star,10,DBST
113,Monitoring,Air,0.8,0.2,0.2,City,10,Star,10,DBST
114,Monitoring,Air,0.2,0.2,0.8,City,10,Star,50,DBST
